Unix Time,open,high,low,close,Volume,Formatted Date
1766364930,88955.53,88966.40,88945.79,88951.06,2.15701000,22/12/2025 01:55
1766364991,88951.07,88979.98,88951.06,88972.14,3.05660000,22/12/2025 01:56
1766365051,88937.94,88937.95,88847.09,88907.64,19.69620000,22/12/2025 01:57
1766365112,88869.84,88899.87,88858.87,88859.78,6.71156000,22/12/2025 01:58
1766365172,88856.40,88856.41,88776.30,88789.67,14.56289000,22/12/2025 01:59
1766365232,88622.40,88622.40,88516.00,88606.85,15.73124000,22/12/2025 02:00
1766365293,88685.11,88760.64,88674.59,88706.01,4.14660000,22/12/2025 02:01
1766365353,88641.31,88729.43,88617.22,88729.43,39.06279000,22/12/2025 02:02
1766365414,88750.00,88769.65,88700.00,88733.00,3.92205000,22/12/2025 02:03
1766365474,88683.45,88749.96,88680.00,88749.95,3.78784000,22/12/2025 02:04
1766365535,88731.75,88731.75,88642.44,88660.00,12.17410000,22/12/2025 02:05
1766365595,88872.53,88900.17,88842.00,88874.15,7.59622000,22/12/2025 02:06
1766365656,88902.35,88902.36,88880.62,88885.38,1.03475000,22/12/2025 02:07
1766365716,88874.72,88905.59,88874.72,88905.59,5.75650000,22/12/2025 02:08
1766365776,88880.00,88881.90,88844.00,88851.40,3.54800000,22/12/2025 02:09
1766365837,88840.11,88917.04,88840.11,88902.21,29.02188000,22/12/2025 02:10
1766365897,88875.89,88919.24,88869.38,88919.23,15.97579000,22/12/2025 02:11
1766365958,88919.97,88991.10,88910.34,88984.59,42.20151000,22/12/2025 02:12
1766366019,89024.81,89024.82,88968.39,88968.39,2.76676000,22/12/2025 02:13
1766366079,88955.09,88959.20,88918.00,88918.01,1.99347000,22/12/2025 02:14
1766366140,88971.36,89000.00,88967.34,88999.99,1.86334000,22/12/2025 02:15
1766366200,88999.99,89013.47,88975.78,89013.42,7.53146000,22/12/2025 02:16
1766366261,89001.21,89031.58,89001.21,89031.57,1.88311000,22/12/2025 02:17
1766366321,89049.99,89049.99,88983.20,89007.25,3.48428000,22/12/2025 02:18
1766366381,89024.80,89024.81,88972.54,88972.54,2.18878000,22/12/2025 02:19
1766366442,88966.64,89002.39,88947.95,89001.53,1.05018000,22/12/2025 02:20
1766366502,89028.00,89064.02,88982.00,88982.01,4.11813000,22/12/2025 02:21
1766366563,89031.86,89148.47,89031.85,89071.60,14.77018000,22/12/2025 02:22
1766366623,89055.93,89067.15,89055.93,89061.68,0.95410000,22/12/2025 02:23
1766366684,89048.03,89080.00,89048.02,89080.00,0.37512000,22/12/2025 02:24
1766366744,89060.01,89060.01,89020.00,89036.27,2.10135000,22/12/2025 02:25
1766366804,89048.43,89063.93,89020.00,89063.93,3.52921000,22/12/2025 02:26
1766366865,89067.05,89088.60,89045.45,89082.34,2.07606000,22/12/2025 02:27
1766366925,89075.29,89075.29,89039.98,89039.98,1.26983000,22/12/2025 02:28
1766366986,89039.98,89039.99,89014.00,89014.01,1.41947000,22/12/2025 02:29
1766367046,89014.01,89074.47,89011.93,89066.02,2.70599000,22/12/2025 02:30
1766367107,89029.13,89082.35,89029.13,89082.35,1.54508000,22/12/2025 02:31
1766367167,89087.67,89100.37,89048.68,89100.36,1.10410000,22/12/2025 02:32
1766367227,89130.82,89130.82,89063.75,89081.18,1.31636000,22/12/2025 02:33
1766367288,89081.18,89104.88,89066.07,89102.66,2.39320000,22/12/2025 02:34
1766367348,89095.35,89127.93,89087.38,89127.93,2.21146000,22/12/2025 02:35
1766367409,89127.93,89228.03,89127.92,89216.19,7.18446000,22/12/2025 02:36
1766367469,89193.28,89195.60,89126.39,89139.22,2.84993000,22/12/2025 02:37
1766367529,89139.22,89199.09,89139.22,89183.08,1.80144000,22/12/2025 02:38
1766367590,89164.59,89242.00,89164.59,89234.98,5.81999000,22/12/2025 02:39
1766367651,89263.38,89279.31,89180.00,89180.01,4.23868000,22/12/2025 02:40
1766367711,89199.50,89200.02,89133.23,89145.72,2.66690000,22/12/2025 02:41
1766367772,89180.00,89198.74,89140.00,89140.00,1.04082000,22/12/2025 02:42
1766367832,89152.74,89180.00,89152.73,89152.74,0.80595000,22/12/2025 02:43
1766367892,89152.74,89158.37,89101.74,89106.93,10.27349000,22/12/2025 02:44
1766367953,89081.86,89120.00,89075.99,89108.85,1.99228000,22/12/2025 02:45
1766368013,89111.26,89126.32,89111.26,89115.14,1.93692000,22/12/2025 02:46
1766368074,89115.12,89129.41,89114.95,89129.41,2.23197000,22/12/2025 02:47
1766368134,89139.36,89141.87,89114.95,89114.96,1.78396000,22/12/2025 02:48
1766368195,89114.96,89114.96,89042.00,89054.53,2.27268000,22/12/2025 02:49
1766368255,89054.52,89054.53,89021.26,89021.26,1.91444000,22/12/2025 02:50
1766368315,89011.68,89011.68,88799.67,88810.51,13.08000000,22/12/2025 02:51
1766368376,88847.99,88847.99,88715.22,88740.07,21.79957000,22/12/2025 02:52
1766368436,88673.78,88673.78,88560.00,88585.37,17.33453000,22/12/2025 02:53
1766368497,88574.99,88648.78,88556.76,88596.86,10.73550000,22/12/2025 02:54
1766368557,88596.86,88663.12,88596.86,88650.22,6.95040000,22/12/2025 02:55
1766368618,88650.21,88702.34,88641.67,88696.81,8.94740000,22/12/2025 02:56
1766368678,88682.36,88682.36,88660.14,88666.15,2.05727000,22/12/2025 02:57
1766368739,88666.15,88692.98,88660.15,88660.15,6.93375000,22/12/2025 02:58
1766368799,88660.15,88662.10,88626.30,88626.30,17.47675000,22/12/2025 02:59
1766368859,88626.31,88658.22,88575.78,88575.93,7.08270000,22/12/2025 03:00
1766368920,88542.38,88542.38,88542.38,88542.38,0.00122000,22/12/2025 03:02
1766368980,88440.00,88440.00,88440.00,88440.00,0.00000000,22/12/2025 03:03
1766369041,88433.32,88433.32,88433.32,88433.32,0.00012000,22/12/2025 03:04
1766369101,88477.95,88477.95,88477.94,88477.94,0.01319000,22/12/2025 03:05
1766369162,88016.30,88017.97,88000.00,88000.01,1.70476000,22/12/2025 03:06
1766369222,88152.77,88177.47,88151.20,88177.47,0.21020000,22/12/2025 03:07
1766369283,88219.10,88222.09,88218.70,88222.09,0.07036000,22/12/2025 03:08
1766369343,88298.59,88298.59,88275.59,88275.60,0.91158000,22/12/2025 03:09
1766369404,88329.17,88329.17,88258.99,88259.27,2.30202000,22/12/2025 03:10
1766369464,88284.00,88284.01,88268.19,88268.19,1.78516000,22/12/2025 03:11
1766369524,88171.29,88171.29,88142.61,88166.79,3.06271000,22/12/2025 03:12
1766369585,88312.82,88312.82,88284.37,88284.37,0.13348000,22/12/2025 03:13
1766369645,88295.10,88295.11,88274.45,88274.46,2.84420000,22/12/2025 03:14
