Unix Time,Open,High,Low,Close,Volume,Formatted Date
1766436738,88215.11,88215.12,88215.11,88215.12,0.46690000,22/12/2025 21:52:18
1766436739,88215.12,88215.12,88215.12,88215.12,1.00000000,22/12/2025 21:52:19
1766436740,88215.12,88215.12,88215.12,88215.12,0.00000000,22/12/2025 21:52:20
1766436741,88215.12,88215.12,88215.12,88215.12,0.00030000,22/12/2025 21:52:21
1766436742,88215.11,88215.12,88206.80,88206.80,0.08210000,22/12/2025 21:52:22
1766436743,88206.80,88206.80,88199.24,88199.24,0.14592000,22/12/2025 21:52:23
1766436744,88199.25,88199.25,88199.24,88199.25,0.00645000,22/12/2025 21:52:24
1766436745,88199.25,88199.25,88199.25,88199.25,0.00247000,22/12/2025 21:52:25
1766436746,88199.24,88199.24,88199.24,88199.24,0.01633000,22/12/2025 21:52:26
1766436747,88199.24,88199.24,88199.24,88199.24,0.00056000,22/12/2025 21:52:27
1766436748,88199.25,88199.25,88199.24,88199.24,0.00121000,22/12/2025 21:52:28
1766436749,88199.24,88199.24,88199.24,88199.24,0.00000000,22/12/2025 21:52:29
1766436750,88199.24,88199.24,88199.24,88199.24,0.00000000,22/12/2025 21:52:30
1766436751,88199.25,88199.25,88189.05,88189.65,0.11729000,22/12/2025 21:52:31
1766436752,88189.69,88189.69,88189.69,88189.69,0.00072000,22/12/2025 21:52:32
1766436753,88189.69,88189.69,88189.69,88189.69,0.00072000,22/12/2025 21:52:33
1766436754,88189.69,88189.69,88189.69,88189.69,0.00045000,22/12/2025 21:52:34
1766436755,88189.69,88189.69,88189.69,88189.69,0.00024000,22/12/2025 21:52:35
1766436756,88189.69,88189.69,88189.69,88189.69,0.00000000,22/12/2025 21:52:36
1766436757,88189.69,88189.69,88189.68,88189.68,0.01070000,22/12/2025 21:52:37
1766436758,88189.68,88189.68,88189.68,88189.68,0.00040000,22/12/2025 21:52:38
1766436759,88189.69,88189.69,88189.68,88189.68,0.00071000,22/12/2025 21:52:39
1766436760,88189.68,88189.69,88189.68,88189.68,0.00232000,22/12/2025 21:52:40
1766436761,88189.69,88189.69,88189.68,88189.69,0.00188000,22/12/2025 21:52:41
1766436762,88189.69,88189.69,88189.68,88189.68,0.01174000,22/12/2025 21:52:42
1766436763,88189.69,88189.69,88189.69,88189.69,0.00460000,22/12/2025 21:52:43
1766436764,88189.69,88189.69,88189.68,88189.68,0.00281000,22/12/2025 21:52:44
1766436765,88189.68,88189.69,88189.68,88189.68,0.00672000,22/12/2025 21:52:45
1766436766,88189.69,88189.69,88189.69,88189.69,0.01819000,22/12/2025 21:52:46
1766436767,88189.69,88189.69,88189.69,88189.69,0.00025000,22/12/2025 21:52:47
1766436768,88189.69,88189.69,88189.68,88189.68,0.00589000,22/12/2025 21:52:48
1766436769,88189.68,88189.69,88189.68,88189.69,0.20260000,22/12/2025 21:52:49
1766436770,88189.69,88189.69,88189.69,88189.69,0.00028000,22/12/2025 21:52:50
1766436771,88189.69,88189.69,88189.69,88189.69,0.03357000,22/12/2025 21:52:51
1766436772,88189.68,88189.69,88189.68,88189.69,0.00092000,22/12/2025 21:52:52
1766436773,88189.68,88189.68,88189.68,88189.68,0.00008000,22/12/2025 21:52:53
1766436774,88189.69,88189.69,88189.68,88189.68,0.03412000,22/12/2025 21:52:54
1766436775,88189.69,88189.69,88189.69,88189.69,0.00023000,22/12/2025 21:52:55
1766436776,88189.69,88195.23,88189.69,88195.23,0.60065000,22/12/2025 21:52:56
